Name	L	T	K	F	R	N	S	LF	LF_B
Phleum phleoides (boehmeri)	8	6	7	3	8	2	0	H	S
Phelum pratense agg.
Phleum pratense bertolonii (nodosum)	7	6	5	4	x	5	0	H	W
Phleum pratense pratense	7	x	5	5	x	7	0	H	W
Phragmites australis (communis)	7	5	x	10	7	7	0	G, A	W
Phyllitis scolopendrium	4	5	2	5	8	4	0	Hel	I
Physalis alkekengi	5	7	5	6	8	7	0	H	S
Phyteuma betonicifolium	8	3	4	5	2	1	0	H	S
Phyteuma hemisphaericum	8	2	4	5	3	1	0	H	S
Phyteuma nigrum	7	4	4	5	5	4	0	H	S
Phyteuma orbiculare orbiculare	8	3	4	5	8	3	0	H	S
Phyteuma orbiculare tenerum	8	6	4	2	8	1	0	H	S
Phyteuma ovatum (halleri)	7	3	4	6	7	6	0	H	S
Phyteuma scheuchzeri	8	4	6	4	4	2	0	H	S
Phyteuma spicatum	x	x	4	5	6	5	0	H	S
Picea abies (excelsa)	(5)	3	6	x	x	x	0	P	I
Picris echioides	7	7	3	5	8	6	0	T, H	S
Picris hieracioides agg.	8	x	5	4	8	4	0	H	S
Pilularia globulifera	8	6	2	9=	4	2	0	A	S
Pimpinella major
Pimpinella major ssp. major	7	5	2	5	7	6	0	H	S
Pimpinella major ssp. rubra	7	4	3	5	6	5	0	H	S
Pimpinella saxifraga agg.
Pimpinella saxifraga alpina	7	3	2	5	5	4	0	H	S
Pimpinella saxifraga nigra	9	6	6	2	8	1	0	H	S
Pimpinella saxifraga saxifraga	7	x	5	3	x	2	0	H	S
Pinguicula alpina	9	3	5	x	8	2	0	H	S
Pinguicula leptoceras	8	4	5	9	8	1	0	H	S
Pinguicula vulgaris	8	x	3	8	7	2	0	H	S
Pinus cembra	(5)	2	7	5	4	3	0	P	I
Pinus mugo agg.
Pinus mugo mugo (pumilio)	8	3	3	x	x	3	0	N	I
Pinus mugo rotundata	(8)	3	5	8	2	2	0	P	I
Pinus nigra	(7)	7	4	3	9	2	0	P	I
Pinus sylvestris	(7)	x	7	x	x	x	0	P	I
Plantago alpina	8	3	2	5~	3	2	0	H	W
Plantago atrata (montana) ssp. atrata	8	3	4	7	8	5	0	H	S
Plantago coronopus	8	7	3	7=	7	4	4	H	S
Plantago indica (arenaria)	8	7	5	4	7	5	0	T	S
Plantago lanceolata	6	x	3	x	x	x	0	H	W
Plantago major ssp. major	8	x	x	5	x	6	0	H	S
Plantago major ssp. intermedia	7	6	x	7=	5	4	0	H, T	S
Plantago maritima	8	6	x	7=	8	5	7	H	W
Plantago media	7	x	7	4	7	3	0	H	W
Plantago serpentina	9	6	6	4	6	2	0	H	S
Platanthera bifolia	6	x	3	5~	7	x	0	G	S
Platanthera chlorantha	6	x	3	7~	7	x	0	G	S
Pleurospermum austriacum	5	4	5	6~	8	4	0	H	S
Poa alpina	7	3	5	5	x	7	0	H	W
Poa annua	7	x	5	6	x	8	1	T, H	W
Poa badensis	8	7	4	3	8	1	0	H	S
Poa bulbosa	8	7	7	3	5	2	0	H	W
Poa cenisia	8	2	2	5	8	3	0	H, G	S
Poa chaixii (sudetica)	6	5	4	5	3	4	0	H	S
Poa compressa	9	x	4	3	9	3	0	H	S
Poa hybrida	6	3	4	6	6	7	0	H	S
Poa laxa (flexuosa)	8	1	2	5	3	2	0	H	S
Poa minor	8	2	2	5	8	3	0	H	S
Poa nemoralis	5	x	5	5	5	4	0	H	S
Poa palustris	7	5	5	9=	8	7	0	H	S
Poa pratensis agg.
Poa pratensis angustifolia	7	6	x	x	x	3	0	H, G	W
Poa pratensis pratensis	6	x	x	5	x	6	0	H, G	W
Poa pratensis subcoerulea	9	5	3	5	6	3	3	H, G	W
Poa remota	5	6	6	7	8	7	0	H	S
Poa supina	8	3	4	5	7	7	0	H	W
Poa trivialis	6	x	3	7	x	7	1	H, C	W
Podospermum laciniatum (Scorzonera lac.)	8	8	6	3~	8	4	1	H	S
Polemonium caeruleum	6	4	5	7	8	6	0	H	S
Polycarpon tetraphyllum	9	8	3	3	5	?	0	T	S
Polycnemum arvense	8	8	7	3	7	2	0	T	S
Polycnemum majus	8	7	6	4	8	4	0	T	S
Polycnemum verrucosum	8	8	6	2	6	1	0	T	S
Polygala alpestris ssp. alpestris	8	2	4	4	7	2	0	H	S
Polygala amara agg.	8	3	4	4~	8	2	0	H, C	W
Polygala amarella	9	x	4	9	9	1	0	H, C	S
Polygala calcarea	7	7	1	3	9	2	0	C, H	W
Polygala chamaebuxus (Polygal. ch.)	6	4	4	3~	8	2	0	Z	I
Polygala comosa (vulgaris ssp. com.)	8	6	6	3	8	2	0	H	S
Polygala serpyllifolia	8	4	2	6	2	2	0	H, C	W
Polygala vulgaris	7	x	3	4	3	2	0	H, C	W
Polygonatum multiflorum	2	x	5	5	6	5	0	G	S
Polygonatum odoratum (officinale)	7	5	5	3	7	3	0	G	S
Polygonatum verticillatum	4	4	2	5	4	5	0	G	S
Polygonum amphibium	7	6	x	11	6	4	0	A, G	W
Polygonum amphibium var. terrestre	8	6	x	x	x	6	0	G	S
Polygonum aviculare agg.	7	6	x	4	x	6	1	T	S
Polygonum bistorta	7	4	7	7	5	5	0	G, H	S
Polygonum hydropiper	7	6	x	8=	5	8	0	T	S
Polygonum lapathifolium ssp. Lapathifolium	6	6	4	8	x	8	0	T	S
Polygonum lapathifolium ssp. Danubiale	8	6	5	7=	x	5	0	T	S
Polygonum lapathifolium ssp. incanum	7	6	4	6	x	8	0	T	S
Polygonum minus	7	6	3	8=	5	8	0	T	S
Polygonum mite	7	6	3	8	6	7	0	T	S
Polygonum oxyspermum ssp. raii	9	6	4	7=	7	8	1	T	S
Polygonum persicaria	6	6	3	5	7	7	0	T	S
Polygonum rurivagum (aviculare ssp. r.)	7	7	3	5	8	7	0	T	S
Polygonum viviparum	7	2	x	5~	4	2	0	H	W
Polypodium interjectum (vulg. ssp. prion.)	5	6	3	5	x	?	0	C	I
Polypodium vulgare agg.	5	5	3	4	2	2	0	C	I
Polystichum aculeatum (lobatum)	3	6	2	6	6	7	0	H	W
Polystichum braunii	3	4	2	6	6	7	0	H	S
Polystichum lonchitis	6	4	3	5	8	3	0	H	W
Polystichum setiferum (angulare)	3	7	2	6	5	5	0	H	S
Populus alba	(5)	7	7	7~	8	6	0	P	S
Populus nigra	(5)	6	6	8=	7	7	0	P	S
Populus tremula	(6)	5	5	5	x	x	0	P	S
Portulaca oleracea	7	8	3	4	7	7	0	T	S
Potamogeton acutifolius	7	6	4	11	5	6	0	A	W
Potamogeton alpinus (rufescens)	7	4	x	12	6	6	0	A	W
Potamogeton x angustifolius (x zizii)	7	6	4	12	7	5	0	A	W
Potamogeton coloratus	8	6	3	11	8	8	0	A	W
Potamogeton compressus	6	5	?	12	8	4	0	A	W
Potamogeton crispus	6	5	3	12	7	5	1	A	W
Potamogeton filiformis	8	4	5	12	4	3	0	A	W
Potamogeton friesii (mucronatus)	5	6	5	11	7	6	0	A	W
Potamogeton gramineus	8	4	x	12	5	5	0	A	W
Potamogeton lucens	6	6	4	12	6	7	0	A	W
Potamogeton natans	6	5	5	11	7	5	0	A	W
Potamogeton x nitens	7	5	2	12	7	5	0	A	W
Potamogeton nodosus (fluitans)	6	6	5	12	8	5	0	A	W
Potamogeton obtusifolius	6	6	3	12	6	6	0	A	W
Potamogeton pectinatus agg.
Potamogeton pectinatus helveticus	7	6	5	12	8	7	0	A	W
Potamogeton pectinatus pectinatus	6	x	5	12	8	8	1	A	W
Potamogeton perfoliatus	6	x	x	12	7	6	1	A	W
Potamogeton polygonifolius (oblongus)	7	6	2	10	3	2	0	A	W
Potamogeton praelongus	8	4	5	12	8	4	0	A	W
Potamogeton pusillus agg. (berchtoldii)	6	5	5	12	6	x	1	A	W
Potamogeton pusillus berchtoldii	6	6	5	12	7	5	1	A	W
Potamogeton rutilus	7	5	4	12	8	5	0	A	W
Potamogeton trichoides	8	6	5	11	5	4	0	A	W
Potentilla alba	6	6	5	4	5	5	0	H	S
Potentilla anglica agg.	7	6	2	5	8	4	0	H	W
Potentilla anserina	7	6	x	6~	x	7	1	H	S
Potentilla argentea agg.	9	6	3	2	3	1	0	H	W
Potentilla aurea	8	3	4	4	3	2	0	H	W
Potentilla brauneana (dubia)	7	2	2	7	9	5	0	H	W
Potentilla caulescens	8	3	4	3	8	3	0	H	W
Potentilla clusiana	8	2	4	3	8	2	0	H	W
Potentilla collina	9	7	4	2	2	1	0	H	S
Potentilla crantzii	9	2	3	5	8	2	0	H	W
Potentilla erecta (Tormentilla erecta)	6	x	3	x	x	2	0	H	W
Potentilla frigida	9	1	6	4	2	1	0	H	W
Potentilla grandiflora	8	3	5	3	4	2	0	H	W
Potentilla heptaphylla (opaca)	7	5	4	3	9	2	0	H	W
Potentilla inclinata (canescens)	9	7	5	2	6	1	0	H	W
Potentilla intermedia	8	6	6	3	7	4	0	H	W
Potentilla micrantha	5	7	4	4	8	4	0	H	W
Potentilla norvegica	7	6	6	5	5	5	0	T, H	W
Potentilla palustris (Comarum)	8	x	x	9=	3	2	0	C, A	W
Potentilla recta	9	7	5	3	5	2	0	H	S
Potentilla reptans	6	6	3	6	7	5	0	H	W
Potentilla rhenana	9	8	4	2	2	1	0	H	S
Potentilla rupestris	7	7	4	4	6	2	0	H	W
Potentilla sterilis (fragariastrum)	5	5	2	5	6	6	0	H	W
Potentilla supina	7	7	5	8=	6	7	2	T, H	S
Potentilla thuringiaca (parviflora)	6	6	5	4	6	3	0	H	W
Potentilla verna agg.
Potentilla verna arenaria (cinerea)	9	7	6	1	8	1	0	H	S
Potentilla verna neumanniana	8	6	4	3	7	2	0	H	W
Potentilla verna pusilla (puberula)	9	6	4	2	8	1	0	H	S
Prenanthes purpurea	4	4	4	5	5	5	0	H	S
Primula auricula	8	3	4	x	8	2	0	H	I
Primula clusiana	8	2	4	5	8	2	0	H	S
Primula elatior	6	x	4	6	7	7	0	H	S
Primula farinosa	8	x	4	8~	9	2	0	H	S
Primula glutinosa	8	1	7	4	2	1	0	H	W
Primula hirsuta	8	2	5	5	3	2	0	H	I
Primula integrifolia	8	1	4	6	3	3	0	H	S
Primula minima	8	2	4	5	1	1	0	H	W
Primula veris (officinalis)	7	x	3	4	8	3	0	H	W
Primula vulgaris (acaulis)	6	5	2	5	7	5	0	H	V
Prunella grandiflora	7	x	5	3	8	3	0	H	W
Prunella laciniata (alba)	7	7	2	3	9	2	0	H	W
Prunella vulgaris	7	x	3	5	7	x	0	H	W
Prunus avium	(4)	5	4	5	7	5	0	P	S
Prunus fruticosa	8	8	8	3	8	x	0	N	S
Prunus mahaleb	7	7	4	3	8	2	0	N	S
Prunus padus (Padus avium)	(5)	5	3	8=	7	6	0	P, N	S
Prunus serotina (Padus serotina)	(6)	6	x	5	x	?	0	N, P	S
Prunus spinosa	7	5	5	4	7	x	0	N	S
Pseudorchis albida (Gymnadenia a.)	8	4	2	5	2	2	0	G	S
Pteridium aquilinum	6	5	3	5~	3	3	0	G	S
Puccinellia capillaris	9	6	?	8=	7	4	7	H	W
Puccinellia distans (Atropis distans)	8	6	6	6~	7	4	7	H	W
Puccinellia limosa	8	6	6	7	7	5	6	H	W
Puccinellia maritima	9	6	3	8=	7	5	8	H	W
Pulicaria dysenterica	8	6	3	7~	7	5	0	H	W
Pulicaria vulgaris	9	6	?	8=	6	7	1	T	S
Pulmonaria angustifolia	5	7	4	5~	6	3	0	H	W
Pulmonaria collina	5	6	?	5	8	4	0	H	W
Pulmonaria mollis	5	5	4	5~	8	5	0	H	W
Pulmonaria mollis ssp. alpigena	5	4	?	5	8	?	0	H	W
Pulmonaria montana ssp. montana	6	6	2	5~	6	5	0	H	W
Pulmonaria officinalis agg.
Pulmonaria officinalis obscura	4	5	6	6	8	7	0	H	W
Pulmonaria officinalis officinalis	5	6	5	5	8	6	0	H	W
Pulsatilla alba (micrantha)	8	4	4	5	2	2	0	H	S
Pulsatilla alpina	8	2	2	5	8	3	0	H	S
Pulsatilla apiifolia (sulphurea)	9	2	2	5	3	2	0	H	S
Pulsatilla grandis	9	6	?	3	9	1	0	H	S
Pulsatilla patens	6	6	5	4	6	2	0	H	S
Pulsatilla pratensis	7	6	5	2	7	2	0	H	S
Pulsatilla vernalis (var. bidgostiana)	7	x	5	4	5	2	0	H	I
Pulsatilla vulgaris	7	6	5	2	7	2	0	H	S
Pyrola chlorantha (virens)	5	5	5	4	5	2	0	H	W
Pyrola media	4	x	4	4	5	2	0	H	W
Pyrola minor	6	x	x	5	3	2	0	H, C	W
Pyrola rotundifolia	4	x	5	6	5	3	0	H	W
Pyrus communis agg.	(6)	6	5	5	8	x	0	P	S
Quercus cerris	(6)	8	4	4	6	x	0	P	S
Quercus ilex	(4)	9	2	3	x	x	0	P	I
Quercus petraea (sessiliflora)	(6)	6	2	5	x	x	0	P	S
Quercus pubescens	(7)	8	4	3	7	x	0	P	S
Quercus robur	(7)	6	6	x	x	x	0	P	S
Radiola linoides	8	6	3	7=	3	2	0	T	S
Ranunculus aconitifolius	6	4	2	8	5	6	0	H	S
Ranunculus acris agg.	7	x	3	6	x	x	0	H	S
Ranunculus alpestris	9	2	x	7	8	4	0	H	S
Ranunculus aquatilis aquatilis	7	5	2	11	6	6	0	A	W
Ranunculus aquatilis peltatus	6	6	3	12	5	6	0	A	W
Ranunculus aquatilis penicillatus (pseudofluit.)	8	6	4	11	7	x	0	A	W
Ranunculus aquatilis trichophyllus (flacidus)	7	x	x	12	8	7	0	A	W
Ranunculus aquatilis ssp. lutulentus (eradicatus)	7	3	3	12	8	3	0	A	W
Ranunculus aquatilis tripartitus	9	6	1	10	6	3	0	A	S
Ranunculus arvensis	6	6	3	4	8	x	0	T	V
Ranunculus auricomus agg.	5	6	3	x	7	x	0	H	W
Ranunculus baudotii	8	6	x	10	9	7	6	A	W
Ranunculus bulbosus	8	6	3	3	7	3	0	G, H	S
Ranunculus circinatus (divaricatus)	6	6	5	12	7	8	1	A	W
Ranunculus ficaria (Ficaria verna)	4	5	3	6	7	7	0	G	V
Ranunculus flammula
Ranunculus flammula flammula	7	x	3	9~	3	2	1	H	S
Ranunculus flammula reptans	8	6	?	10	8	2	0	H, A	S
Ranunculus fluitans	8	6	2	12	x	8	0	A	W
Ranunculus glacialis	8	1	4	6	3	2	0	H	W
Ranunculus hederaceus	8	5	1	9=	3	x	0	A, H	W
Ranunculus hybridus	9	2	4	5	9	3	0	H	W
Ranunculus illyricus	8	7	6	4	7	4	0	G	S
Ranunculus lanuginosus	3	6	4	6	7	7	0	H	S
Ranunculus lingua	7	x	x	10	6	7	0	H, A	S
Ranunculus montanus agg.
Ranunculus montanus carinthiacus	7	4	4	4	8	3	0	H	S
Ranunculus montanus grenieranus	9	1	?	x	2	3	0	H	W
Ranunculus montanus montanus	6	3	4	5	8	6	0	H	S
Ranunculus montanus oreophilus (hornschuchii)	8	3	4	5	8	3	0	H	W
Ranunculus ololeucos	8	6	1	10	x	3	0	A	W
Ranunculus parnassifolius	8	2	3	5	9	3	0	H	S
Ranunculus platanifolius	5	4	4	6	x	7	0	H	S
Ranunculus polyanthemos agg.
Ranunculus polyanthemos nemorosus	6	x	4	5	6	x	0	H	S
Ranunculus polyanthemos polyanthemos	6	6	5	4~	x	2	0	H	S
Ranunculus polyanthemos serpens (radicescens)	4	4	3	5	x	7	0	H	S
Ranunculus pygmaeus	8	1	3	7	3	3	0	H	S
Ranunculus pyrenaeus	8	1	4	5	4	2	0	H	S
Ranunculus repens	6	x	x	7~	x	7	1	H	W
Ranunculus sardous	8	6	4	8=	x	7	1	T	S
Ranunculus sceleratus	9	6	x	9=	7	9	2	T	S
Raphanus raphanistrum agg.	6	5	3	5	4	6	0	T	S
Rapistrum perenne	9	8	6	3	9	4	0	H, G	S
Rapistrum rugosum	7	7	3	4	8	5	0	T, H	S
Reseda lutea	7	6	3	3	8	5	0	H	S
Reseda luteola	8	7	3	4	9	6	0	H	S
Reynoutria japonica (Polygon. cuspidat.)	8	6	2	8=	5	7	0	G	S
Reynoutria sachalinensis	7	7	2	8=	7	8	0	G	S
Rhamnus alpinus	6	5	5	4	8	3	0	N	S
Rhamnus catharticus	7	5	5	4	8	4	0	N	S
Rhamnus pumilus	8	2	4	3	9	2	0	Z	S
Rhamnus saxatilis	7	6	4	3	9	2	0	N	S
Rhinanthus alectorolophus (hirsutus)	8	x	2	4	7	3	0	Thp	S
Rhinanthus aristatus agg.
Rhinanthus aristatus aristatus	8	4	4	5	5	2	0	Thp	S
Rhinanthus aristatus glacialis	8	3	4	5	4	2	0	Thp	S
Rhinanthus minor	7	5	3	4	x	3	0	Thp	S
Rhinanthus serotinus agg. (major)	7	5	3	6~	7	2	0	Thp	S
Rhodiola rosea (Saxifraga rosea)	7	4	3	6	4	?	0	H	S
Rhododendron ferrugineum	7	3	4	6	2	2	0	Z, N	I
Rhododendron hirsutum	7	3	4	4	7	3	0	Z	I
Rhododendron x intermedium	7	3	4	5	6	2	0	Z, N	I
Rhodothamnus chamaecistus	6	3	4	5	8	2	0	Z	I
Rhynchosinapi cheiranthos (Hutera ch.)	9	8	2	4	6	3	0	T	S
Rhynchospora alba	8	5	3	9=	3	2	0	H	S
Rhynchospora fusca	8	5	2	9=	1	2	0	H, G	S
Ribes alpinum	5	4	4	x	8	7	0	N	S
Ribes nigrum	4	x	7	9=	6	5	0	N	S
Ribes petraeum	5	3	4	5	6	7	0	N	S
Ribes rubrum agg.
Ribes rubrum rubrum	4	6	7	8	6	6	0	N	S
Ribes rubrum spicatum	4	5	7	8=	7	7	0	N	S
Ribes uva-crispa (grossularia)	4	5	2	x	x	6	0	N	S
Robinia pseudacacia	(5)	6	4	4	x	8	0	P	S
Rorippa amphibia	7	6	7	10	7	8	0	A, H	S
Rorippa x anceps (prostrata)	7	6	4	9=	9	8	0	H, A	S
Rorippa x armoracioides	7	6	?	8=	?	?	0	T, H	S
Rorippa austriaca	8	7	4	7=	8	8	0	H	S
Rorippa islandica (palustris) agg.	7	x	x	8=	x	8	0	T, H	S
Rorippa pyrenaica (stylosa)	8	7	2	5	6	6	0	H	S
Rorippa sylvestris	6	6	3	8=	8	6	0	G, H	S
Rosa abietina	8	5	?	5	7	3	0	N	S
Rosa agrestis	8	6	4	3	8	3	0	N	S
Rosa arvensis (repens)	5	5	2	5	7	5	0	N, Z	S
Rosa canina agg.	8	5	3	4	x	x	0	N	S
Rosa coriifolia (caesia)	8	6	3	3	8	3	0	N	S
Rosa corymbifera agg. (dumetor.)	8	6	4	4	7	5	0	N	S
Rosa elliptica	8	6	4	3	8	3	0	N	S
Rosa gallica	7	7	4	4~	7	4	0	N	S
Rosa glauca (rubrifolia)	8	5	4	4	7	2	0	N	S
Rosa jundzillii	8	7	6	3	8	4	0	N	S
Rosa majalis (cinnamomea)	7	6	7	5	8	3	0	N	S
Rosa micrantha	8	6	4	3	8	3	0	N	S
Rosa obtusifolia (tomentella)	7	6	4	4	8	4	0	N	S
Rosa pendulina	6	4	2	5	7	6	0	N	W
Rosa pimpinellifolia (spinosissima	8	6	5	4	8	3	0	N, Z	W
Rosa rubiginosa (eglanteria)	7	6	2	3	8	3	0	N	S
Rosa scabriuscula	8	6	4	3	8	3	0	N	S
Rosa stylosa	8	7	2	4	8	4	0	N	S
Rosa subcanina	8	5	3	4	6	3	0	N	S
Rosa subcollina	8	6	3	3	8	3	0	N	S
Rosa subdumetorum	8	6	4	4	7	5	0	N	S
Rosa tomentosa	8	6	2	4	7	4	0	N	S
Rosa villosa (pomifera)	6	5	2	3	8	2	0	N	S
Rosa vosagiaca	7	5	2	5	6	3	0	N	S
Rubia peregrina	6	9	1	4	x	3	0	C	I
Rubus caesius	6	5	4	x	8	7	0	zli	S
Rubus chamaemorus	9	3	7	8	2	1	0	H	S
Rubus idaeus	7	x	x	x	x	6	0	n	S
Rubus saxatilis	7	x	7	6	7	4	0	H	S
Rudbeckia hirta	8	7	5	4	8	5	0	H, T	S
Rudbeckia laciniata	7	6	5	8~	7	7	0	H, G	S
Rumex acetosa	8	x	x	x	x	6	0b	H	W
Rumex acetosella agg.
Rumex acetosella acetosella	8	5	3	3	2	2	0b	G, H	W
Rumex acetosella tenuifolius	9	6	5	3	2	1	0	G, H	W
Rumex alpestris (arifolius)	7	3	5	6	8	6	0	H	S
Rumex alpinus	8	4	4	6	7	9	0	H	S
Rumex aquaticus	7	6	7	8=	7	8	0	H	S
Rumex conglomeratus	8	6	3	7	x	8	0	H	W
Rumex crispus	7	5	3	7~	x	6	0	H	W
Rumex hydrolapathum	7	6	3	10	7	7	0	A, H	S
Rumex longifolius (domesticus)	8	6	?	5	?	8	0	H	W
Rumex maritimus	8	7	x	9=	8	9	2	T	S
Rumex nivalis	8	2	4	7	8	4	0	C	W
Rumex obtusifolius	7	5	3	6	x	9	0	H	W
Rumex palustris	8	7	3	9=	9	8	0	T	S
Rumex pulcher	8	7	3	3~	7	7	0	T, H	S
Rumex sanguineus	4	6	2	8	7	7	0	H	S
Rumex scutatus	8	x	2	4	7	3	0	H	W
Rumex stenophyllus	8	6	8	7=	8	5	2	H	S
Rumex thyrsiflorus	8	7	7	3~	7	4	0	H	W
Rumex triangulivalvis	8	6	?	7	7	7	0	H	S
Ruppia cirrhosa (spiralis)	?	6	?	12	8	?	9	A	W
Ruppia maritima	x	6	8	10	8	?	9	A	W
Sagina apetala (micropetala)	8	7	2	7~	4	4	0	T	W
Sagina maritima	8	6	x	7=	8	3	4	T	W
Sagina nodosa	8	6	3	8~	8	5	2	H, C	W
Sagina procumbens	7	x	3	5~	7	6	2	C, H	W
Sagina saginoides (linnaei)	7	3	3	6~	5	4	0	H, C	W
Sagina subulata	8	6	2	7	?	?	0	C, H	W
Sagittaria sagittifolia	7	6	4	10	7	6	0	A	S
Salicornia europaea agg.
Salicornia europaea dolichostachya (stricta)	9	6	x	9=	7	4	8	T	S
Salicornia europaea europaea	9	6	x	8=	8	4	9	T	S
Salicornia fragilis (dolich. ssp. decumbens)	9	6	?	7=	7	3	7	T	S
Salicornia prostrata	9	6	?	?	?	?	?	T	S
Salicornia ramosissima	9	6	?	8=	8	5	9	T	S
Salix alba	(5)	6	6	8=	8	7	0	P	S
Salix alpina	9	2	?	6	8	4	0	Z	S
Salix appendiculata (grandifolia)	7	3	4	6	8	6	0	N, P	S
Salix aurita	7	x	3	8~	4	3	0	N	S
Salix caprea	7	x	3	6	7	7	0	N, P	S
Salix cinerea	7	x	5	9~	5	4	0	N	S
Salix daphnoides	(6)	x	4	8~	8	4	0	P, N	S
Salix elaeagnos (incana)	7	5	2	7~	8	4	0	N	S
Salix foetida	8	3	2	7~	4	4	0	N	S
Salix fragilis fragilis	(5)	5	3	8=	6	6	0	P	S
Salix fragilis x rubens	(5)	6	?	8=	6	6	0	P	S
Salix glabra	6	3	4	7	8	4	0	N, Z	S
Salix hastata	7	3	7	6	7	4	0	N, Z	S
Salix herbacea	7	2	3	7	3	4	0	Z	S
Salix myrsinifolia (nigricans)	7	4	6	7=	8	6	0	N	S
Salix myrtilloides	6	4	8	9	4	2	0	N, C	S
Salix pentandra	7	5	7	8~	6	4	0	N, P	S
Salix purpurea	8	5	4	x=	8	x	0	N, P	S
Salix repens	8	5	x	7	x	x	0	N, Z	S
Salix repens ssp. argentea (arenari	9	6	4	6	7	3	0	Z, N	S
Salix repens ssp. rosmarinifolia	8	5	6	8	5	2	0	N, Z	S
Salix reticulata	8	2	x	6	9	3	0	Z	S
Salix retusa agg.
Salix retusa retusa	7	2	4	6	8	4	0	Z	S
Salix retusa serpillifolia	7	2	4	4	9	2	0	Z	S
Salix starkeana (livida)	7	4	7	7~	4	?	0	N, Z	S
Salix triandra (amygdalina)	7	5	5	8=	7	5	0	N	S
Salix viminalis	7	6	7	8=	7	x	0	N, P	S
Salix waldsteiniana (arbusc. agg.)	7	3	4	6~	8	5	0	N, Z	S
Salsola kali ssp. kali	9	7	x	x=	7	8	6	T	S
Salsola kali ssp. ruthenica	9	7	8	4	8	5	2	T	S
Salvia glutinosa	4	5	4	6	7	7	0	H	S
Salvia pratensis	8	6	4	3	8	4	0	H	S
Salvia nemorosa	7	7	?	4	9	4	0	H	S
Salvia verticillata	9	6	6	4	7	5	0	H	S
Salvinia natans	7	8	5	11	7	7	0	A	S
Sambucus ebulus	8	6	3	5	8	7	0	H	S
Sambucus nigra	7	5	3	5	x	9	0	N	S
Sambucus racemosa	6	4	4	5	5	8	0	N	S
Samolus valerandi	8	6	3	8=	7	5	4	H	W
Sanguisorba minor (Poterium sanguisorba)	7	6	5	3	8	2	0	H	S
Sanguisorba muricata	8	8	5	2	7	2	0	H	S
Sanguisorba officinalis	7	5	7	6~	x	5	0	H	S
Sanicula europaea	4	5	3	5	8	6	0	H	W
Saponaria ocymoides	7	?	2	3~	9	2	0	H	S
Saponaria officinalis	7	6	3	5	7	5	0	H	S
Saussurea alpina ssp. alpina	9	1	7	5	5	3	0	H, C	W
Saussurea discolor	9	1	6	5	8	2	0	H, C	W
Saussurea pygmaea	9	2	5	5	8	2	0	H, C	W
Saxifraga adscendens	8	2	4	4	5	6	0	T, H	V
Saxifraga aizoides	8	3	3	9=	8	3	0	C	W
Saxifraga androsacea	7	2	5	7	8	4	0	C	W
Saxifraga aphylla	9	1	4	5	9	3	0	C	I
Saxifraga aspera	8	3	5	4	3	2	0	C	I
Saxifraga biflora ssp. macropetala	9	1	4	6	8	?	0	C	I
Saxifraga bryoides (aspera ssp. bryoid.)	9	1	4	5	3	2	0	C	I
Saxifraga burserana	9	3	4	4	9	2	0	C	W
Saxifraga caesia	8	2	4	3	9	2	0	C	W
Saxifraga cotyledon	8	3	4	5	3	2	0	C	W
Saxifraga cuneifolia	4	4	5	6	3	2	0	C	I
Saxifraga decipiens (rosacea)	7	4	2	4	8	x	0	C	W
Saxifraga exarata agg.	8	1	?	4	2	2	0	C	W
Saxifraga granulata	x	6	2	4	5	3	0	H	V
Saxifraga hirculus	9	5	7	9=	4	2	0	H	S
Saxifraga moschata	8	1	5	4	8	3	0	C	W
Saxifraga mutata (ssp. amphibia)	8	4	4	8	9	1	0	H, C	W
Saxifraga oppositifolia ssp. oppositifolia	8	2	3	5	8	2	0	C	I
Saxifraga oppositifolia ssp. amphibia	9	6	3	9=	8	2	0	C	I
Saxifraga paniculata (aizoon)	7	3	3	3	8	2	0	C	I
Saxifraga rotundifolia	5	3	4	6	8	6	0	H	W
Saxifraga seguieri	8	2	3	7	3	3	0	C	W
Saxifraga sponhemica	7	6	2	4	5	2	0	C	W
Saxifraga stellaris	8	3	2	9=	5	?	0	C, H	W
Saxifraga tridactylites	8	6	2	2	7	1	0	T	V
Scabiosa canescens (suaveolens)	7	7	6	3	8	3	0	H	S
Scabiosa columbaria agg.
Scabiosa columbaria columbaria	8	5	2	3	8	3	0	H	S
Scabiosa columbaria gramuntia	8	7	5	2	5	2	0	H	S
Scabiosa columbaria lucida	9	3	4	4	8	3	0	H	S
Scabiosa ochroleuca	8	7	6	3	8	2	0	H	S
Scandix pecten-veneris	7	7	3	3	8	4	0	T	W
Scheuchzeria palustris	9	5	5	9=	3	1	0	G	W
Schoenoplectus americanus	8	6	4	10	7	7	1	G, A	W
Schoenoplectus x carinatus	8	6	?	11	7	7	2	A, G	W
Schoenoplectus lacustris (Scirpus lacustris)	8	6	3	11	7	6	1	A, G	S
Schoenoplectus mucronatus	8	7	4	10	7	8	0	H, A	W
Schoenoplectus supinus (Isolepis)	8	7	x	8=	7	3	0	T	S
Schoenoplectus tabernaemontani (Scirpus t.)	8	7	6	10	9	6	3	G, A	W
Schoenoplectus triqueter (Scirpus triqueter)	8	6	5	10	7	7	2	A, G	W
Schoenus ferrugineus	9	4	4	8	7	2	0	H	W
Schoenus nigricans	9	6	3	9=	9	2	1	H	W
